created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-12-05T22:18:40+00:00,53,23.80000,37.00000,24.30000,34.00000,23.80000,39.00000,,,,
2023-12-05T22:18:55+00:00,54,23.60000,37.00000,24.20000,34.00000,23.80000,39.00000,,,,
2023-12-05T22:19:10+00:00,55,23.60000,38.00000,24.10000,35.00000,23.70000,39.00000,,,,
2023-12-05T22:19:25+00:00,56,23.50000,37.00000,24.10000,34.00000,23.70000,39.00000,,,,
2023-12-05T22:19:41+00:00,57,23.40000,37.00000,24.00000,34.00000,23.60000,39.00000,,,,
2023-12-05T22:19:56+00:00,58,23.20000,37.00000,24.00000,35.00000,23.60000,40.00000,,,,
2023-12-05T22:20:12+00:00,59,23.20000,37.00000,23.90000,35.00000,23.60000,39.00000,,,,
2023-12-05T22:20:27+00:00,60,23.10000,38.00000,23.80000,35.00000,23.60000,39.00000,,,,
2023-12-05T22:20:42+00:00,61,23.00000,38.00000,23.70000,35.00000,23.60000,40.00000,,,,
2023-12-05T22:20:58+00:00,62,23.00000,38.00000,23.70000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:21:13+00:00,63,22.90000,38.00000,23.70000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:21:28+00:00,64,22.90000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:21:44+00:00,65,22.90000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:21:59+00:00,66,22.80000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:22:15+00:00,67,22.80000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:22:30+00:00,68,22.80000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:22:45+00:00,69,22.70000,38.00000,23.60000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:23:01+00:00,70,22.70000,38.00000,23.50000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:23:16+00:00,71,22.70000,38.00000,23.50000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:23:31+00:00,72,22.70000,38.00000,23.50000,35.00000,23.50000,39.00000,,,,
2023-12-05T22:23:47+00:00,73,22.70000,38.00000,23.50000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:24:02+00:00,74,22.60000,38.00000,23.50000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:24:17+00:00,75,22.60000,38.00000,23.50000,36.00000,23.40000,39.00000,,,,
2023-12-05T22:24:33+00:00,76,22.60000,38.00000,23.40000,36.00000,23.40000,40.00000,,,,
2023-12-05T22:24:48+00:00,77,22.60000,38.00000,23.40000,36.00000,23.40000,40.00000,,,,
2023-12-05T22:25:03+00:00,78,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:25:19+00:00,79,22.50000,41.00000,23.40000,38.00000,23.50000,41.00000,,,,
2023-12-05T22:25:34+00:00,80,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:25:49+00:00,81,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:26:05+00:00,82,22.70000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:26:20+00:00,83,22.70000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:26:36+00:00,84,22.70000,39.00000,23.50000,37.00000,23.50000,39.00000,,,,
2023-12-05T22:26:51+00:00,85,22.70000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:27:06+00:00,86,22.60000,39.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:27:22+00:00,87,22.60000,39.00000,23.40000,37.00000,23.50000,41.00000,,,,
2023-12-05T22:27:37+00:00,88,22.60000,40.00000,23.40000,38.00000,23.50000,42.00000,,,,
2023-12-05T22:27:52+00:00,89,22.60000,39.00000,23.40000,37.00000,23.50000,41.00000,,,,
2023-12-05T22:28:08+00:00,90,22.60000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
